Work Order ID,Account Number,Work Order Number,WorkDesc,Stop Box Location,Water Service Type,Water Service Size,Stop Time,Status,Work Result,New Meter Read,New Serial #,New MTU #
4384,312962494,24-062884,MTU Repair,,,Y,3/15/2024 13:00,IMPORTED,"AM, 30 MIN CALL AHEAD, 330-466-8835, PHIL, Mtu not compatible. Installed and programmed new mtu., Current Read (Old Meter): 077353",,,72604784
4470,102941514,24-062957,MTU Repair,3'   NORTH OF SOUTH BLDG LINE      AND/OR 2'    INSIDE SIDEWALK  BUFFALO BOX/360 VALVE,Copper,Y3/4,3/15/2024 8:30,IMPORTED,"AM, 30 MIN CALL AHEAD, 586-343-3285, ROSANN, Replaced smashed register and bad mtu. Turned off old mtu, Item (reg 6whl 5/8 T10): Amount ($65.460000), Item (MTU SINGLE PORT): Amount ($114.000000)",0,Same,72604687
4494,112931738,24-062965,MTU Not Transmitting,6'   NORTH OF SOUTH BLDG LINE            11',Copper ,Y 3/4,3/15/2024 9:15,IMPORTED,"AM, *30 MIN CALL AHEAD, MICHAEL MARSHALL, 586-530-5170, Replaced bad register and bad mtu. Turned off old mtu , No one has been living in the house, Item (reg 6whl 5/8 T10): Amount ($65.460000), Item (MTU SINGLE PORT): Amount ($114.000000)",0,Same,72604706
4496,204942774,24-062967,MTU Not Transmitting,12'   EAST OF WEST LOT LINE,Need to hydro excavate ,Y,3/15/2024 12:30,IMPORTED,"PM, 30 MIN CALL AHEAD, 586-758-6481, HAROLD, Replaced smashed register and bad mtu. Turned off old mtu., Item (reg 6whl 5/8 T10): Amount ($65.460000), Item (MTU SINGLE PORT): Amount ($114.000000)",0,Same,W72605057
4515,101913726,24-062975,Turn Off Delinquent,12'   SOUTH OF NORTH BLDG LINE,,Y,3/18/2024 10:15,IMPORTED,"Older style stopbox. Couldn’t get it open., This Occupant Paid, Left Water On",,,
4516,101916218,24-062978,Turn Off Delinquent,,,Y,3/18/2024 10:30,IMPORTED,Turned water off at stopbox. Left notice on door.,,,
4517,112965294,24-062973,MTU Repair,5'   SOUTH OF NORTH BLDG LINE            7'   OF COPPER,Copper ,Y3/4,3/15/2024 13:00,IMPORTED,"PM, 30 MIN CALL AHEAD, 586-415-6653, DOREEN BROWN, Replaced bad register and bad mtu. Turned off old mtu., Item (reg 6whl 5/8 T10): Amount ($65.460000), Item (MTU SINGLE PORT): Amount ($114.000000)",0,Same,72604699
4522,312916806,24-062977,MTU Repair,,,4-Mar,3/15/2024 9:00,IMPORTED,"AM, 30 MIN CALL AHEAD, 313-500-0555, MD, Replaced and programmed mtu., Current Read (Old Meter): 098464",,,72604765
4552,101920674,24-063002,Turn Off Delinquent,4'   SOUTH OF SOUTH BLDG LINE            38'   OF COPPER,,Y,3/18/2024 11:00,IMPORTED,Turned water off at stopbox. Painted and flagged,,,
4554,101926806,24-063009,Turn Off Delinquent,9'   SOUTH OF NORTH BLDG LINE,,Y,3/18/2024 10:00,IMPORTED,Turn off for delinquent,,,
